{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.9.0', 'IMP_VERSION': '2.9.0'}", 'STAT2HEADER_ENVIRON': "{'CONDA_PYTHON_EXE': '/anaconda2/bin/python', 'TERM_PROGRAM_VERSION': '3.2.3', 'LOGNAME': 'andy', 'USER': 'andy', 'HOME': '/Users/andy', 'PATH': '/anaconda2/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin', 'TERM_PROGRAM': 'iTerm.app', 'LANG': 'en_GB.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.a4zfTx7TRY/Render', 'COLORFGBG': '15;0', 'SHLVL': '1', 'CONDA_PREFIX': '/anaconda2', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t0p0:A1892B25-CF04-4F6E-BC94-DA3590C84CC8', '_': '/anaconda2/bin/python', 'CONDA_DEFAULT_ENV': 'base', 'TERM_SESSION_ID': 'w0t0p0:A1892B25-CF04-4F6E-BC94-DA3590C84CC8', 'XPC_SERVICE_NAME': '0', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.Qle2Bp5r1c/Listeners', 'CONDA_SHLVL': '1', 'CONDA_PROMPT_MODIFIER': '', 'SHELL': '/bin/bash', 'ITERM_PROFILE': 'Default', 'TMPDIR': '/var/folders/b5/9qknx8yd47s4n02xkx671b6m0000gn/T/', 'OLDPWD': '/Users/andy/Dropbox/Shared_Argyris/MIMB_Manuscript/3_TS_Crosslinking/output_atomistic', '__CF_USER_TEXT_ENCODING': '0x0:0:0', 'PWD': '/Users/andy/Dropbox/Shared_Argyris/MIMB_Manuscript/3_TS_Crosslinking', 'COLORTERM': 'truecolor', 'CONDA_EXE': '/anaconda2/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 722.777135284532, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 716.6540902183073, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 721.1761121146677, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 724.8682681100058, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.7014412732196, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.0508603667428, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.0767482492588, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 721.3898172107487, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.7332999879834, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.279017923658, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.428319063635, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.2099637729943, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.2620364942842, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.9569789347923, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 709.645178643513, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 711.9719722128195, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 708.5720810194298, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 711.3157626336405, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.4019401214514, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.8567472626946, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 714.5295717095341, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.0229583623601, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.0634235028549, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.2465590191327, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.9833915893588, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.9390573609958, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.4696384141647, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.7103188077708, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 721.6735977753442, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.0846215994172, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.9597262865236, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.9421673734964, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.0546421783607, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.6031169216402, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.0675712024746, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.4390992529281, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.9117410183799, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 709.8411521874125, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.702921194441, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 708.8520068888349, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.9119405412179, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.7140466400309, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.7995047048089, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.4107593788434, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 720.8927452839313, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 710.8187561880831, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 708.6504436739718, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.2176813615499, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.1637482401477, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.6637821256363, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 712.7754826212057, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 711.0728490587586, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.6184007853246, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.7359712335998, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 714.3831192790528, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.1276885063851, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 713.4788143594988, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.360228401524, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.3596599957002, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.566056286088, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 717.4243794205655, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 723.7026640475706, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 714.7921236301233, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 715.0764812150682, 3: '0.0', 4: '1.0'} 
